item,itemLabel,page_title,gnis,website
http://www.wikidata.org/entity/Q7590469,St. Mary Cathedral High School,St. Mary Cathedral High School (Michigan),,http://www.gaylordstmary.org
http://www.wikidata.org/entity/Q7846851,Troy High School,Troy High School (Michigan),,http://www.troycolts.org/
http://www.wikidata.org/entity/Q7984672,West Catholic High School,West Catholic High School,,http://grwestcatholic.org
http://www.wikidata.org/entity/Q7205811,Plymouth High School,Plymouth High School (Michigan),,http://pcep.pccs.k12.mi.us/
http://www.wikidata.org/entity/Q7308482,Regina High School,Regina High School (Michigan),,http://www.reginahs.com
http://www.wikidata.org/entity/Q14716126,Haslett High School,Haslett High School,,https://www.haslett.k12.mi.us/hhs
http://www.wikidata.org/entity/Q7629049,Sturgis High School,Sturgis High School,,http://www.sturgisps.org/hs/site/default.asp
http://www.wikidata.org/entity/Q22025532,St. Ambrose High School,"St. Ambrose High School (Grosse Pointe, Michigan)",,
http://www.wikidata.org/entity/Q14875208,International Academy of Macomb,International Academy of Macomb,,http://iamacomb.org/
http://www.wikidata.org/entity/Q7073670,Oak Park High School,Oak Park High School (Michigan),,http://www.oakparkschools.org/node/152
http://www.wikidata.org/entity/Q22059744,St. Paul High School,"St. Paul High School (Grosse Pointe Farms, Michigan)",,
http://www.wikidata.org/entity/Q22059684,St. Frederick High School,"St. Frederick High School (Pontiac, Michigan)",,
http://www.wikidata.org/entity/Q22059709,St. Ladislaus High School,St. Ladislaus High School,,
http://www.wikidata.org/entity/Q7885739,Union High School,"Union High School (Grand Rapids, Michigan)",,http://grpublicschools.org/unionhigh/
http://www.wikidata.org/entity/Q7363094,Romeo High School,Romeo High School,,http://romeo.k12.mi.us/pages/214/romeo-high-school
http://www.wikidata.org/entity/Q7353940,Rochester Adams High School,Rochester Adams High School,,http://www.rochester.k12.mi.us/pages/214/adams
http://www.wikidata.org/entity/Q7353983,Rochester High School,Rochester High School (Michigan),,http://www.rochester.k12.mi.us/rochester-high-school/pages/334/rochester-high-school-home-page
http://www.wikidata.org/entity/Q7996638,Whitmore Lake High School,Whitmore Lake Secondary School,,https://sites.google.com/a/wlps.net/high-school/
http://www.wikidata.org/entity/Q7974035,Waterford Mott High School,Waterford Mott High School,,http://www.waterford.k12.mi.us/pages/61/mott
http://www.wikidata.org/entity/Q6789627,Mattawan High School,Mattawan High School,,http://www.mattawanschools.org/hs
http://www.wikidata.org/entity/Q14716132,Henry Ford II High School,Henry Ford II High School,,
http://www.wikidata.org/entity/Q7504039,Shrine Catholic High School,Shrine Catholic High School,,http://www.shrineschools.com
http://www.wikidata.org/entity/Q7205752,Plymouth-Canton Educational Park,Plymouth-Canton Educational Park,,http://pcep.pccs.k12.mi.us/
http://www.wikidata.org/entity/Q23302639,DeWitt High School,DeWitt High School (Michigan),,
http://www.wikidata.org/entity/Q7063955,Nouvel Catholic Central High School,Nouvel Catholic Central High School,,http://www.sacschools.org/nouvel/home.aspx
http://www.wikidata.org/entity/Q7589327,St. Joseph High School,"St. Joseph High School (St. Joseph, Michigan)",,http://www.sjschools.org/site/default.aspx?domainid=97
http://www.wikidata.org/entity/Q6749921,Manistee High School,Manistee High School,,
http://www.wikidata.org/entity/Q8040339,Wyoming High School,Wyoming High School (Michigan),,http://www.wyoming.k12.mi.us/015/index.htm
http://www.wikidata.org/entity/Q14716184,Lake Michigan Catholic High School,Lake Michigan Catholic High School,,http://www.lmclakers.com
http://www.wikidata.org/entity/Q7056164,North Muskegon High School,North Muskegon High School,,
http://www.wikidata.org/entity/Q7231405,Portage Central High School,Portage Central High School,622990,
http://www.wikidata.org/entity/Q28147907,Bridgman High School,Bridgman High School,,
http://www.wikidata.org/entity/Q7179542,Pewamo-Westphalia Community Schools,Pewamo-Westphalia Community Schools,,https://www.pwschools.org/
http://www.wikidata.org/entity/Q7404689,Saline High School,Saline High School (Michigan),,http://www.salineschools.org/schools/saline-high-school/
http://www.wikidata.org/entity/Q6942754,Muskegon Catholic Central High School,Muskegon Catholic Central High School,,http://www.muskegoncatholic.org
http://www.wikidata.org/entity/Q7161599,Pellston High School,Pellston High School,,
http://www.wikidata.org/entity/Q19461005,Clarence M. Kimball High School,Clarence M. Kimball High School,,
http://www.wikidata.org/entity/Q7115351,Oxford High School,Oxford High School (Michigan),,http://www.oxfordschools.org/section_display.cfm?section_id=14
