EntityOfficialName,EntityStatus,EntityPhone,EntityPhysicalStreet,EntityPhysicalCity,EntityPhysicalState,EntityPhysicalZip4,DistrictOfficialName,EntityActualGrades,EntityReligiousOrientationName
A&J Romper Room Educ. Center,Closed,3133684551,17526 Riopelle St,Highland Park,MI,482032440,,"3,4,5,6,7",
Aabizikaawin Alternative,Closed,9897754459,7070 EAST BROADWAY RD,MOUNT PLEASANT,MI,488588970,,"7,8,9,10,11,12",Unknown
Abundant Life Academy,Closed,5177237603,208 W Oliver St,Owosso,MI,488672318,,"KG-Part,1,2,3,4,5,6,7,8,9,10,11,12",Unknown
Abyssinia School of Explorers,Closed,2485579451,20820 Greenfield Rd,Oak Park,MI,482373051,,"KG-Part,1,2,3,4,5,6,7,8",Unknown
"Academy of Excellence, Inc.",Closed,3135261337,11560 EAST MCNICHOLS RD,DETROIT,MI,482053254,,"KG-Part,1,2,3,4,5",Unknown
Academy of International Studies,Open-Active,3138739900,2609 Poland Street,Hamtramck,MI,482123459,,"KG,1,2,3,4,5,6,7,8",Unaffiliated - Private Secular
Academy of Sacred Heart,Open-Active,2486468900,1250 KENSINGTON RD,BLOOMFIELD HILLS,MI,483043029,,"KG-Part,1,2,3,4,5,6,7,8,9,10,11,12",Roman Catholic
Acadia Montessori,Closed,2488537070,254 Hampton Cir,Rochester Hills,MI,483074102,,"KG-Part,1,2",Unknown
Acadia Montessori School,Closed,2483357070,43816 Woodward Ave,Bloomfield Hills,MI,483025019,,"KG-Part,1,2",Unknown
Acton Academy Ann Arbor (A2),Open-Active,7347882768,4115 JACKSON RD,ANN ARBOR,MI,481031827,,"2,3",
Ada Christian School,Open-Active,6166761289,6206 ADA DR SE,ADA,MI,493017400,,"KG-Part,1,2,3,4,5,6,7,8",Christian (no specific denomination)
Adams Christian School,Open-Active,6165310748,5539 BYRON CENTER AVE SW,WYOMING,MI,495199603,,"KG-Part,1,2,3,4,5,6,7,8,9",Unknown
Adelphian Junior Academy,Open-Active,2486349481,740 ACADEMY RD,HOLLY,MI,484421544,,"KG-Part,1,2,3,4,5,6,7,8,9,10",Seventh-Day Adventist
Adrian Temporary Facility,Closed,5172633500,2727 E Beecher St,Adrian,MI,49221,,,
Agape Christian Academy,Closed,7343940357,45081 Geddes Rd,Canton,MI,481882413,,"KG-Part,1,2,3,4,5,6,7,8,9,10,11,12",Unknown
Agnus Dei Academy,Closed,7344494091,11648 NORTH MAIN ST,WHITMORE LAKE,MI,481899117,,"KG-Part,1,2,3,4,5,6,7",Roman Catholic
Aim High School,Open-Active,2487026922,29230 12 Mile Road,Farmington Hills,MI,483344108,,"6,7,8,9,10,11,12",Unknown
"Alderbrook School, Inc.",Open-Active,2487317725,1050 E Square Lake Rd                                       ,Bloomfield Hills                                            ,MI,483041957,,"3,4,5,6,7,8,9,10,11,12",
Al-Furqan Quran Academy,Open-Active,3135844464,4430 SAINT JAMES ST,DETROIT,MI,482103502,,"DevK-Part,1,2,3,4,5,6,7,8",
Algoma Christian School,Open-Active,6166787480,14471 SPARTA AVE,KENT CITY,MI,493309728,,"KG-Part,1,2,3,4,5,6,7,8,9,10,11,12",Unknown
Al-Ikhlas Training Academy,Closed,3139250880,13490 DWYER ST,HAMTRAMCK,MI,482121359,,"KG-Part,1,2,3,4,5,6,7,8,9,10,11,12",Unknown
Al-Ikhlas Training Academy,Open-Active,3133690880,12555 MCDOUGALL ST,DETROIT,MI,482122262,,"KG,1,2,3,4,5,6,7,8,9,10,11,12",
All Saints Academy Elementary,Open-Active,6164472997,2233 DIAMOND AVE NE,GRAND RAPIDS,MI,495054313,,"KG,KG-Part,1,2,3",Roman Catholic
All Saints Academy Middle School,Open-Active,6163637725,1110 4 MILE RD NE,GRAND RAPIDS,MI,495252653,,"4,5,6,7,8",Roman Catholic
All Saints Catholic Academy,Open-Active,9069323200,106 SOUTH MARQUETTE ST,IRONWOOD,MI,499382060,,"KG-Part,1,2,3,4,5,6",Roman Catholic
All Saints Catholic School,Open-Active,9893544911,500 NORTH SECOND AVE,ALPENA,MI,497072340,,"KG-Part,1,2,3,4,5,6,7,8",Roman Catholic
All Saints Catholic School,Open-Active,7344592490,48735 WARREN RD,CANTON,MI,481871216,,"KG-Part,1,2,3,4,5,6,7,8",Roman Catholic
All Saints Central School,Open-Active,9898922533,217 SOUTH MONROE ST,BAY CITY,MI,487087208,,"6,7,8,9,10,11,12",Roman Catholic
All Saints Elementary,Open-Active,9898924371,715 14TH ST,BAY CITY,MI,487087204,,"KG-Part,1,2,3,4,5",Roman Catholic
Allegan Coop Preschool Nursery,Closed,,441 Trowbridge St,Allegan,MI,490101230,,,Unknown
Allendale Christian School,Open-Active,6168955108,11050 64TH AVE,ALLENDALE,MI,494018429,,"KG-Part,1,2,3,4,5,6,7,8",Christian (no specific denomination)
Allendale Preschool Nursery,Closed,,6633 Lake Michigan Dr,Allendale,MI,494019575,,,
Alpena Christian School,Closed,9893581826,500 S Brooke St,Alpena,MI,497074405,,"KG-Part,1,2,3,4,5,6",Unknown
Alpena SDA Elementary School,Closed,9893562932,4029 US HIGHWAY 23 S,ALPENA,MI,497075135,,"2,3,4,5,6,7,8",Seventh-Day Adventist
American International Prep School,Open-Active,8103482737,50 West Big Beaver Road,Troy,MI,480845218,,"KG,KG-Part,1,2,3,4,5,6,7,8,9,10,11,12",Unaffiliated - Private Secular
American Islamic Academy,Closed,3139456504,6409 Schaefer Rd,Dearborn,MI,481262212,,"KG-Part,1,2,3,4,5,6,7,8,9,10,11,12",Islamic
American Reformed School,Closed,6166988020,3179 68th St SE,Caledonia,MI,493169133,,"1,2,3,4,5,6,7,8,9,10,11,12",Unknown
Amish Private #2 Camden School,Closed,5174391515,CAMDEN RD,CAMDEN,MI,49232    ,,"1,2,3,4,5,6,7,8",Amish
Amish Private #2 School,Closed,5174391515,CARPENTER RD,CAMDEN,MI,49232    ,,"1,2,3,4,5,6,7,8",Amish
Amish Private #2 School,Closed,5174391515,Rural Route #2,Montgomery,MI,49255,,"1,2,3,4,5,6,7,8",Unknown
AnchorPoint Christian School,Open-Active,6166084006,"601 36th Street, SW",Wyoming,MI,49509,,"KG-Part,1,2,3,4,5,6",Christian (no specific denomination)
Ann Arbor Academy,Open-Active,7347476641,1153 Oak Valley Drive,ANN ARBOR,MI,481088943,,"4,5,6,7,8,9,10,11,12",Unknown
Ann Arbor Adventist Elementary School,Open-Active,7349715570,2796 PACKARD ST,ANN ARBOR,MI,481083257,,"2,3,4,5,6,7,8",Seventh-Day Adventist
Ann Arbor Children's House,Open-Active,7343308190,2309 PACKARD ST,ANN ARBOR,MI,481046321,,KG,
Ann Arbor Christian School,Open-Active,7347414948,5500 WHITMORE LAKE RD,ANN ARBOR,MI,481059277,,"KG-Part,1,2,3,4,5,6,7,8",Christian (no specific denomination)
Ann Arbor Hills Child Dev. Ctr.,Open-Active,7349713080,2775 BEDFORD RD,ANN ARBOR,MI,481044011,,"KG-Part,1,2",Unknown
"Ann Arbor Nursery, Inc.",Closed,,423 S 4th Ave,Ann Arbor,MI,481042301,,,Unknown
Antioch Baptist Academy,Closed,5865583050,30588 DEQUINDRE RD,WARREN,MI,480921817,,"KG-Part,1,2,3,4,5,6,7,8,9,10,11,12",Baptist
Aquinas Catholic High School,Closed,7342833190,15601 Northline Rd,Southgate,MI,481952334,,"9,10,11,12",Roman Catholic
Archangel Academy,Closed,8106359100,4429 Lindewood Dr,Swartz Creek,MI,484738224,,"KG-Part,1,2,3,4,5,6,7,8,9,10",Unknown
Art 'n Dot Nursery & K Place,Closed,,16171 Meyers Rd,Detroit,MI,482354108,,,Unknown
ASA Higher Learning Preparatory,Open-Active,3133411558,20433 Livernois Ave.,Detroit,MI,482211398,,"KG,1,2,3",Unknown
Assumption of the Blessed Virgin Mary Catholic School,Open-Active,6163615483,6393 BELMONT AVE NE,BELMONT,MI,493069701,,"KG-Part,1,2,3,4,5,6,7,8",Roman Catholic
Atonement Lutheran School,Closed,3135812525,6961 Mead St,Dearborn,MI,481261787,,"KG-Part,1,2,3,4,5,6,7,8",Lutheran Church - Missouri Synod
Auburn Area Catholic School,Open-Active,9896626431,114 WEST MIDLAND RD,AUBURN,MI,486119492,,"KG-Part,1,2,3,4,5",Roman Catholic
Auburn Hills Christian School,Open-Active,2483733399,3655 NORTH SQUIRREL RD,AUBURN HILLS,MI,483263940,,"KG-Part,1,2,3,4,5,6,7,8,9,10,11,12",Unknown
Aurora Christian Academy,Closed,9899834105,9300 Old 27 Hwy N,Vanderbilt,MI,497959318,,"1,2,3,4,5,6,7,8,9,10,11",Unknown
Austin Catholic High School,Open-Active,5862000143,25925 23 Mile Road,Chesterfield,MI,480511906,,"9,10,11,12",Roman Catholic
Bachelor Christian Homeschool,Closed,2314623224,5520 E Sugar Grove Rd,Fountain,MI,494109797,,"KG-Part,1,2,3,4,5,6,7,8,9",Unknown
Bais Menachem Association,Closed,2485421792,14601 Lincoln St,Oak Park,MI,482371333,,"KG-Part,1,2,3,4,5,6,7",Jewish
Baldwin Road Church Academy,Open-Active,2483356011,1750 BALDWIN AVE,PONTIAC,MI,483401116,,"1,2,3,4,5,6,7,8,9,10,11,12",Baptist
Baptist Nursery School,Closed,,1120 Willow Hwy,Grand Ledge,MI,488372062,,,
Baptist Park School,Closed,7342872720,12505 TELEGRAPH RD,TAYLOR,MI,481804019,,"KG-Part,1,2,3,4,5,6,7,8,9,10,11,12",Baptist
Barry County Christian School,Open-Active,2699482151,2999 MCKEOWN RD,HASTINGS,MI,490589140,,"KG-Part,1,2,3,4,5,6,7,8,9,10,11,12",Unknown
Battle Creek Academy,Open-Active,2699651278,480 PARKWAY DR,BATTLE CREEK,MI,490372134,,"KG-Part,1,2,3,4,5,6,7,8,9,10,11,12",Seventh-Day Adventist
Battle Creek Christian School,Closed,2699630649,1035 WAGNER DR,BATTLE CREEK,MI,490175419,,"KG-Part,1,2,3,4,5,6,7,8",Christian (no specific denomination)
Bay De Noc Christian School,Closed,9067896283,,Escanaba,MI,49829,,"KG-Part,1,2,3,4,5,6,7,8,9",Unknown
Bear Lake Christian School,Closed,2318642662,7738 Main St,Bear Lake,MI,49614,,"KG-Part,1,2,3,4,5,6,7,8,9,10,11,12",Unknown
Beaver Lake Christian School,Closed,5173794123,9007 M 65 S,Lachine,MI,497539668,,"KG-Part,1,2,3,4,5,6,7,8,9,10,11,12",Unknown
Beaverdam Christian School,Closed,6168758340,5181 64TH AVE,HUDSONVILLE,MI,494269502,,"KG-Part,1,2,3,4,5,6,7,8",Christian (no specific denomination)
Bedford Bible Church School,Open-Active,2699643238,21964 BEDFORD RD N,BATTLE CREEK,MI,490178806,,"KG-Part,1,2,3,4,5,6,7,8,9,10,11,12",Unknown
Bell School,Closed,,3900 Mcculloch Rd,Beaverton,MI,486129758,,"1,2,3,4,5,6,7,8",
Benedictine High School,Closed,3135321274,8001 W Outer Dr,Detroit,MI,482353293,,"9,10,11,12",Roman Catholic
Benjamin E. Mays Male Academy,Closed,3139240014,3544 IROQUOIS ST,DETROIT,MI,482141887,,"KG-Part,1,2,3,4,5,6",Unknown
Berean Baptist Academy,Open-Active,5172635050,751 WEST MAUMEE ST,ADRIAN,MI,492212031,,"KG-Part,1,2,3,4,5,6,7,8,9,10,11,12",Baptist
Beth Haven Baptist Academy,Open-Active,9892910555,1158 WEST CARSON CITY RD,SHERIDAN,MI,488849205,,"KG-Part,1,2,3,4,5,6,7,8,9,10,11,12",Baptist
Beth Jacob School,Open-Active,2485449070,14390 WEST 10 MILE RD,OAK PARK,MI,482371437,,"DevK,DevK-Part,KG,KG-Part,1,2,3,4,5,6,7,8,9,10,11,12",Jewish
Beth Temple of Inkster Christian Academy,Closed,3132747080,26100 ANNAPOLIS ST,INKSTER,MI,481413280,,"KG-Part,1,2,3,4,5,6,7,8,9,10",Unknown
Bethany Christian School,Open-Active,2486894821,2601 JOHN R RD,TROY,MI,480832365,,"KG-Part,1,2,3,4,5,6,7,8,9,10,11,12",Unknown
Bethany Christian School,Closed,8106729611,5421 Shabbona Rd,Decker,MI,484269779,,"1,2,3,4,5,6,7,8,9",Unknown
Bethany Lutheran School,Closed,9897990935,5051 MCCARTY RD,SAGINAW,MI,486039620,,"KG-Part,1,2,3,4",Wisconsin Evangelical Lutheran Synod
Bethany Lutheran School,Closed,3138850180,11475 E Outer Dr,Detroit,MI,482243226,,"KG-Part,1,2,3,4,5,6,7,8",Lutheran Church - Missouri Synod
Bethel Baptist Christian School,Open-Active,9063416335,118 EAST ELK ST,MANISTIQUE,MI,498541208,,"KG,2,4,5,9,10",Baptist
Bethel Christian Academy,Closed,2696953356,945 CHIPPEWA ST,BUCHANAN,MI,491071122,,"2,3,4,5,6,7,8,9,10,11,12",Unknown
Bethel Lutheran School,Open-Active,9898924508,749 N Pine Rd                                               ,Bay City                                                    ,MI,487089699,,"KG-Part,1,2,3,4,5,6,7,8",Wisconsin Evangelical Lutheran Synod
Bethesda Baptist School,Closed,,PO Box 636,Marquette,MI,498550636,,,Baptist
Bethesda Christian School,Closed,7344837362,1800 S Huron St,Ypsilanti,MI,481979701,,"9,10,11,12",Unknown
Bethesda Prep School/Day Tr Cntr,Closed,3135416830,20101 Fenkell St,Detroit,MI,482232100,,"9,10,11",
Bethlehem Lutheran School,Closed,5867779128,29675 Gratiot Ave,Roseville,MI,480664140,,"KG-Part,1,2,3,4,5,6,7,8",Lutheran Church - Missouri Synod
Bethlehem Lutheran School,Open-Active,9897551146,2777 HERMANSAU RD,SAGINAW,MI,486042417,,"KG-Part,1,2,3,4,5,6,7,8",Lutheran Church - Missouri Synod
Beverly Hills Academy,Open-Active,2484339470,32605 Bellvine Trail,Beverly Hills,MI,480252652,,"DevK,DevK-Part,KG,1,2,3,4,5,6,7,8",Islamic
Bible Baptist Church School,Closed,9894733151,3338 MAIN ST,LUPTON,MI,486359520,,"1,2,3,4,5,6,7,8,9,10,11,12",Unknown
Bible Baptist School,Closed,9898792266,PO Box 1007,Pinconning,MI,486501007,,11,Baptist
Bible Missionary Academy,Closed,7343264499,4150 S Hubbard St,Wayne,MI,481841802,,"KG-Part,1,2,3,4,5,6,7,8,9,10,11,12",Unknown
Bible Truth Christian Academy,Closed,5867527724,172 W Lafayette St,Romeo,MI,480655122,,"KG-Part,1,2,3,4,5,6,7,8,9,10,11,12",Unknown
Bird Lake Bible School,Closed,5175678635,7880 Bird Lake Rd S,Osseo,MI,492669808,,"KG-Part,1,2,3,4,5,6,7,8,9,10,11,12",Unknown
Bishop Baraga Catholic School,Open-Active,9067742277,406 WEST B ST,IRON MOUNTAIN,MI,498013340,,"KG-Part,1,2,3,4,5,6,7,8",Roman Catholic
Bishop Baraga Catholic School,Open-Active,2316275608,623 WEST LINCOLN AVE,CHEBOYGAN,MI,497211862,,"KG-Part,1,2,3,4,5,6",Roman Catholic
Bishop Foley Catholic High School,Open-Active,2485851210,32000 CAMPBELL RD,MADISON HEIGHTS,MI,480711014,,"9,10,11,12",Roman Catholic
Bishop Kelley Memorial School,Open-Active,8106645011,926 WEST NEPESSING ST,LAPEER,MI,484461871,,"KG,1,2,3,4,5,6,7,8",Roman Catholic
Blackwell Christian Academy,Closed,3138360913,17330 W Mcnichols Rd,Detroit,MI,482353323,,"KG-Part,1,2,3,4,5,6,7,8,9",Unknown
Blanchard Christian Academy,Closed,9895615321,400 4th St,Blanchard,MI,493109578,,"1,2,3,4,5,6,7,8,9,10,11,12",Unknown
Blessed Sacrament School,Open-Active,9898356777,3109 SWEDE AVE,MIDLAND,MI,486423842,,"KG,1,2,3,4,5",Roman Catholic
Bloomfield Christian School,Open-Active,2484571510,3570 Telegraph Road,Bloomfield Hills,MI,483021462,,"KG-Part,1,2,3,4,5,6,7,8,9,10,11,12",Unknown
Bloomfield Coop Preschool,Closed,,470 Church Rd,Bloomfield Hills,MI,480133400,,,Unknown
Bloomfield Hills Montessori Center,Closed,2483381166,2101 OPDYKE RD,BLOOMFIELD HILLS,MI,483042246,,"KG-Part,1,2",Unknown
Bloomfield Maples Montessori,Closed,2486610910,6201 WEST MAPLE RD,WEST BLOOMFIELD,MI,483222171,,KG-Part,Unknown
Blue Heron School,Closed,6163265287,10097 Front Street,Empire,MI,49630,,"1,2,3,4,5,6,7,8",
Blue Water SDA Elementary School,Closed,8103642770,1365 6th St,Marysville,MI,480401219,,"1,2,3,4,5,6,7,8",Seventh-Day Adventist
Bluff View Christian School,Open-Active,9066636959,507 E Cinnebar St                                           ,Bessemer                                                    ,MI,499111104,,"KG,1,2,3",Seventh-Day Adventist
Borculo Christian School,Open-Active,6168758152,6830 96TH AVE,ZEELAND,MI,494649741,,"KG-Part,1,2,3,4,5,6,7,8",Christian (no specific denomination)
Bowen Creek Amish School,Open-Active,5176397141,715 NORTH BRIGGS RD,QUINCY,MI,490829492,,"1,2,3,4,5,6,7,8",Amish
Boysville -- St. Rose,Closed,,1643 Defer Pl,Detroit,MI,482143349,,,Unknown
Boysville of Michigan--St. Rose Fac.,Closed,3138972203,1643 Defer Pl,Detroit,MI,482143349,,"7,8,9,10,11,12",Roman Catholic
Boysville of MI--St. Thomas,Closed,3135791600,8333 Townsend St,Detroit,MI,482132331,,"6,7,8,9,10,11,12",Unknown
Branch County Christian School,Closed,5172826087,260 EAST GARFIELD AVE LOT 73,COLDWATER,MI,490369177,,"7,8,9,10,11,12",Unknown
"Bravo Montessori Academy, Inc.",Closed,2483381166,2101 S. Opdyke Road,Bloomfield Hills,MI,48304,,"KG-Part,1,2",Unknown
Breckenridge Coop Nursery,Closed,,615 E Summit St,Breckenridge,MI,486159701,,,Unknown
Bridgeport Baptist Academy,Open-Active,9897776811,2400 KING RD,BRIDGEPORT,MI,48722    ,,"KG-Part,1,2,3,4,5,6,7,8,9,10,11,12",Baptist
Bridgeport Coop Nursery School,Closed,,3821 State Street,Bridgeport,MI,48722,,,Unknown
Brightmont Academy - Ann Arbor,Open-Active,3129099373,1315 E MICHIGAN AVE,SALINE,MI,481768730,,10,
Brightmont Academy - Birmingham,Open-Active,2484303060,33483 Woodward Avenue,Birmingham,MI,480090907,,"4,6,7,8,9,10,11",Unknown
Brightmont Academy - Plymouth,Open-Active,7345488740,15374 Haggerty Road,Plymouth,MI,481704863,,"5,6,8,9,10,11,12",Unknown
Broadway Baptist School,Closed,2317399450,2892 OAK LN,MUSKEGON,MI,494442522,,"5,6,8,9,10,12",Baptist
Brockway Christian Academy,Closed,9893527719,10951 3 MILE RD,MORLEY,MI,493369766,,"KG-Part,1,2,3,4,5,6,7,8,9,10,11,12",Unknown
Brohman Baptist Church School,Closed,,7044 N. WOODBRIDGE,BROHMAN,MI,49312,,"KG-Part,1,2,3,4,5,6",Baptist
Brookfield Academy,Open-Active,2486266665,2965 WALNUT LAKE RD,WEST BLOOMFIELD,MI,483233757,,"KG-Part,1,2,3,4,5",Unknown
Brookfield Academy,Open-Active,2483751700,1263 SOUTH ADAMS RD,ROCHESTER HILLS,MI,483092806,,"KG-Part,1,2,3,4,5",Unknown
Brookfield Academy,Open-Active,7344642789,38945 Ann Arbor Rd                                          ,Livonia                                                     ,MI,481503354,,"KG-Part,1,2,3",Unknown
Brookfield Academy - Troy,Open-Active,2486899565,3950 LIVERNOIS RD,TROY,MI,480835036,,"KG-Part,1,2,3,4,5",Unknown
Brookfield Academy-Laurel Camp,Closed,2486730008,2490 AIRPORT RD,WATERFORD,MI,483271210,,"KG,KG-Part,1,2,3,4,5",Unknown
Brookview School,Open-Active,2699253544,501 ZOLLAR DR,BENTON HARBOR,MI,490226429,,"KG-Part,1,2,3,4,5,6,7,8",Unknown
Brother Rice High School,Open-Active,2486472526,7101 LAHSER RD,BLOOMFIELD HILLS,MI,483014045,,"9,10,11,12",Roman Catholic
Bushnell Child Study Club,Closed,,15000 Southfield Fwy,Detroit,MI,482232352,,,Unknown
Busy Bee Preschool Inc.,Closed,,6100 FOLKS ROAD,HANOVER,MI,49241,,,Unknown
Butman Amish School,Closed,,3826 Butman Rd,Gladwin,MI,486248710,,"1,2,3,4,5,6,7,8",Unknown
Byron Center Christian School,Open-Active,6168783378,8840 BYRON CENTER AVE SW,BYRON CENTER,MI,493159200,,"KG-Part,1,2,3,4,5,6,7,8",Christian (no specific denomination)
Cabrini High School,Open-Active,3133880110,15305 WICK RD,ALLEN PARK,MI,481011554,,"9,10,11,12",Roman Catholic
Cadillac Heritage Christian,Open-Active,2317754272,1706 WRIGHT ST,CADILLAC,MI,496018815,,"KG-Part,1,2,3,4,5,6,7,8,9,10,11,12",Unknown
Caledonia Parent Coop Preschool,Closed,,PO Box 275,Caledonia,MI,493160275,,,Unknown
Calhoun Christian School,Open-Active,2699655560,20 WOODROW AVE S,BATTLE CREEK,MI,490152922,,"KG-Part,1,2,3,4,5,6,7,8,9,10,11,12",Unknown
Calll Together Day Care Center,Closed,,33 E Forest Ave,Detroit,MI,482021813,,,Unknown
Calvary Baptist Academy,Closed,9893489220,6504 WEST M 72 HWY,GRAYLING,MI,497387463,,"KG-Part,1,2,3,4,5,6,7,8,9,10,11,12",Baptist
Calvary Baptist Academy,Open-Active,9898323341,6100 PERRINE RD,MIDLAND,MI,486402175,,"1,2,3,4,5,6,7,8,9,10,11,12",Baptist
Calvary Baptist Church School,Closed,5867849050,74940 FULTON ST,ARMADA,MI,480054792,,"2,4,5,6,7,8,11,12",Baptist
Calvary Baptist School,Closed,9897324001,225 SOUTH WISCONSIN AVE,GAYLORD,MI,497351735,,"KG-Part,1,2,3,4,5,6,7,8,9,10,11",Baptist
Calvary Bible Academy,Open-Active,2697827296,27032 MARCELLUS HWY,DOWAGIAC,MI,490478718,,"1,2,3,4,6,7,8,9,10,11",Unknown
Calvary Christian Academy,Open-Active,7344821990,1007 ECORSE RD,YPSILANTI,MI,481985820,,"KG-Part,1,2,3,4,5,6,7,8,9,10,11,12",Unknown
Calvary Christian Academy,Open-Active,7343794914,29788 FORT RD,ROCKWOOD,MI,481739781,,"KG,2,3,5,8,11",Unknown
Calvary Christian Academy,Open-Active,7346526606,318 RILEY ST,DUNDEE,MI,481311029,,"1,2,4,5,6,7,8,9,10,11,12",Baptist
Calvary Christian Academy,Open-Active,9893451651,231 Minzer Ct.,West Branch,MI,486619308,,"KG-Part,1,2,3,4,5,6",Christian (no specific denomination)
Calvary Christian School,Closed,2485414598,2203 EAST 11 MILE RD,ROYAL OAK,MI,480672335,,"KG-Part,1,2,3,4,5,6,7,8",Unknown
Calvary Christian School,Open-Active,2318652141,5873 KENDRA RD,FRUITPORT,MI,494159207,,"KG-Part,1,2,3,4,5,6,7,8,9,10,11,12",Baptist
Calvary Lutheran School,Closed,3133816716,3320 Electric Ave,Lincoln Park,MI,481463103,,"KG-Part,1,2,3,4,5,6,7,8",Lutheran Church - Missouri Synod
Calvary Schools of Holland,Open-Active,6163964494,6047 147TH AVE,HOLLAND,MI,494238948,,"8,9,10,11,12",Baptist
Calvary Schools of Holland,Open-Active,6163964494,518 PLASMAN AVE,HOLLAND,MI,494234041,,"KG-Part,1,2,3,4,5,6,7",Baptist
Calvin Center SDA School,Open-Active,2694762218,19088 BROWNSVILLE RD,CASSOPOLIS,MI,490319583,,"1,2,3,4,5,6,7,8,9",Unknown
Calvin Christian Elementary School,Closed,6165322373,601 36TH ST SW,WYOMING,MI,495094004,,"KG-Part,1,2,3,4,5,6",Christian (no specific denomination)
Calvin Christian Middle School,Closed,6165322373,3740 IVANREST AVE SW,GRANDVILLE,MI,494182087,,"6,7,8",Christian (no specific denomination)
Calvin Christian Middle School & High School,Open-Active,6162574228,3750 IVANREST AVE SW,GRANDVILLE,MI,494182089,,"6,7,8,9,10,11,12",Christian (no specific denomination)
Capitol City Baptist School,Open-Active,5176941216,5100 WILLOUGHBY RD,HOLT,MI,488421059,,"KG-Part,1,2,3,4,5,6,7,8,9,10,11,12",Baptist
Cardinal Mooney Catholic School,Open-Active,8107658825,660 SOUTH WATER ST,MARINE CITY,MI,480393601,,"9,10,11,12",Roman Catholic
Carleton Comm Baptist School,Closed,3136546744,2120 SCOFIELD CARLETON RD,CARLETON,MI,481179593,,"KG-Part,1,2,3,4,5,6,7,8,9,10,11,12",Baptist
Caro Preschool Center,Closed,,North Colling,Caro,MI,48723,,,Unknown
Carousel Coop Nursery Inc.,Closed,,11900 Belleville Rd,Belleville,MI,481112478,,,Unknown
Cassidy Lake Technical School,Closed,7344332206,18901 Waterloo Rd,Chelsea,MI,481189016,,,Unknown
Catholic Central High School,Open-Active,6162335899,319 SHELDON BLVD SE,GRAND RAPIDS,MI,495034515,,"9,10,11,12",Roman Catholic
Cedar Creek Christian School,Open-Active,2696235543,9213 CEDAR CREEK RD,DELTON,MI,490468666,,"KG-Part,1,2,3,4,5,6,7,8,9,10",Unknown
Cedar Crest Academy,Open-Active,2486257270,8970 DIXIE HWY,CLARKSTON,MI,483484239,,"KG-Part,1,2,3,4,5,6,7,8",Unknown
Cedar Lake SDA Elementary School,Open-Active,9894275614,7195 ACADEMY RD,CEDAR LAKE,MI,48812    ,,"KG-Part,1,2,3,4,5,6,7,8",Seventh-Day Adventist
Central Christian School,Closed,3134557711,670 Church St,Plymouth,MI,481701600,,"KG-Part,1,2,3,4,5,6,7,8,9,10,11,12",Unknown
Chapman Academy,Closed,2484860492,28117 MILFORD RD,NEW HUDSON,MI,481658519,,"KG-Part,1,2,3,4,5,6,7,8",Unknown
Charity Echos School,Open-Active,2317430135,7414 20 MILE RD,MARION,MI,496658440,,"1,2,3,4,5,6,7,8",Unknown
Charlotte Mason Community School,Open-Active,3133383481,1419 W. Warren Avenue,DETROIT,MI,482082259,,"KG-Part,1,2,3,4,5,6,7,8",Unknown
Charlotte SDA School,Open-Active,5175439491,1510 SOUTH COCHRAN RD,CHARLOTTE,MI,488139124,,"KG,KG-Part,1,2,3,4,5,6,7,8",Seventh-Day Adventist
Cheboygans Childrens Nursery,Closed,,PO Box 372,Cheboygan,MI,497210372,,,Unknown
Childrens Comm Nursery Inc.,Closed,,1051 Chester Rd,Lansing,MI,489124804,,,Unknown
Childrens Learning Center,Closed,3135379400,18401 W Mcnichols Rd,Detroit,MI,482194113,,"KG-Part,1,2,3,4,5,6,7,8",
Children's Place Montessori of Grosse Ile,Closed,7346710577,9393 Church Rd,Grosse Ile,MI,48138,,KG,Unaffiliated - Private Secular
Childrens Technological Academy,Open-Active,2487990066,19421 W 10 MILE RD,SOUTHFIELD,MI,480752461,,,
Childrens Village Inter. Cen,Closed,3139317610,14901 Meyers Rd,Detroit,MI,482274087,,"KG-Part,1,2",
Childs Academy Montessori Center,Closed,2485699424,26377 Southfield Rd,Lathrup Village,MI,480764574,,"KG-Part,1,2",Unknown
Chippewa Nursery Inc.,Closed,,2401 E Wheeler St,Midland,MI,486407152,,,
Chiquitos Bilingual Montessori (Chiquitos Inc) ,Open-Active,2487648576,45900 NORTHPOINTE BLVD,UTICA,MI,483155801,,"DevK,KG,1,2,3,4,5",
Christ Church Coop Nursery,Closed,,61 Grosse Pointe Blvd.,Grosse Pointe,MI,482363712,,,Unknown
Christ Lutheran School,Open-Active,9898452611,16070 WEST BRADY RD,OAKLEY,MI,486499761,,"KG-Part,1,2,3,4,5,6,7,8",Wisconsin Evangelical Lutheran Synod
Christ Lutheran School,Closed,9897810980,8795 Ederer Rd,Saginaw,MI,486099506,,"KG-Part,1,2,3,4,5,6,7,8",Wisconsin Evangelical Lutheran Synod
Christ Lutheran School,Open-Active,2694297111,4333 CLEVELAND AVE,STEVENSVILLE,MI,491279595,,"KG-Part,1,2,3,4,5,6,7,8",Lutheran Church - Missouri Synod
Christ the King Lutheran School,Open-Active,7342859697,15600 TRENTON RD,SOUTHGATE,MI,481952063,,"KG-Part,1,2,3,4,5,6,7,8",Lutheran Church - Missouri Synod
